# R2 calibration run — HTTP + Postgres SELECT FOR UPDATE, two regimes
# date: 2026-08-11
# host: macOS-26.5.2-arm64-arm-64bit, arm64, Python 3.10.11
# harness: tools/calibrate_r2.py (full: 20 reps, 2.0s per level), server: tools/r2_server.py
# engine: PostgreSQL 17.10 (Homebrew, throwaway local instance, max_connections=450), psycopg 3
# STEADY regime excludes each worker's first post-T0 request;
# CONVOY regime is exactly those first requests (synchronized start).
# sharded8 mode: same offered concurrency spread over 8 rows, not 1.
concurrency,rep,mode,steady_thr_ops_s,steady_n,steady_p50_ms,steady_p95_ms,steady_p99_ms,convoy_p50_ms,convoy_p95_ms,convoy_p99_ms,convoy_max_ms,errors
8,3,hot,4191.5,8383,1.207,5.581,8.375,4.938,5.759,5.759,5.759,0
8,4,hot,4183.0,8366,1.222,5.363,8.114,5.261,10.427,10.427,10.427,0
8,5,hot,4186.5,8373,1.216,5.421,7.954,4.775,6.441,6.441,6.441,0
8,6,hot,4273.0,8546,1.194,5.424,7.974,3.951,5.626,5.626,5.626,0
8,7,hot,4203.0,8406,1.222,5.447,7.905,5.678,11.562,11.562,11.562,0
8,8,hot,4187.0,8374,1.215,5.486,7.769,4.898,6.951,6.951,6.951,0
8,9,hot,4182.0,8364,1.220,5.461,7.970,4.373,6.494,6.494,6.494,0
8,10,hot,4154.5,8309,1.216,5.575,8.174,4.338,5.349,5.349,5.349,0
8,11,hot,4178.5,8357,1.225,5.445,7.755,4.522,7.966,7.966,7.966,0
8,12,hot,4192.5,8385,1.227,5.401,7.743,4.082,6.951,6.951,6.951,0
8,13,hot,4195.0,8390,1.221,5.436,7.887,4.285,5.601,5.601,5.601,0
8,14,hot,4050.0,8100,1.242,5.605,8.495,4.854,6.972,6.972,6.972,0
8,15,hot,4163.0,8326,1.220,5.543,7.993,5.118,7.132,7.132,7.132,0
8,16,hot,4187.0,8374,1.224,5.442,7.929,5.357,8.762,8.762,8.762,0
8,17,hot,4191.0,8382,1.201,5.500,8.011,6.399,8.832,8.832,8.832,0
8,18,hot,4187.0,8374,1.216,5.497,7.947,4.535,7.477,7.477,7.477,0
8,19,hot,4180.0,8360,1.221,5.441,8.161,5.191,6.348,6.348,6.348,0
16,0,hot,3901.0,7802,1.402,18.611,35.605,8.036,18.680,18.680,18.680,0
16,1,hot,3908.5,7817,1.349,18.915,34.015,7.838,14.616,14.616,14.616,0
16,2,hot,3970.0,7940,1.345,17.757,33.355,8.139,20.175,20.175,20.175,0
16,3,hot,3940.5,7881,1.325,18.719,36.670,13.090,21.656,21.656,21.656,0
16,4,hot,3972.0,7944,1.354,18.151,34.567,7.407,19.690,19.690,19.690,0
16,5,hot,3973.5,7947,1.355,18.358,33.673,9.401,25.394,25.394,25.394,0
16,6,hot,3979.0,7958,1.331,18.193,33.167,8.026,20.187,20.187,20.187,0
16,7,hot,3968.0,7936,1.334,18.318,34.278,10.793,21.529,21.529,21.529,0
16,8,hot,3959.0,7918,1.344,18.251,35.341,7.474,34.640,34.640,34.640,0
16,9,hot,3977.0,7954,1.340,18.272,34.090,8.705,16.225,16.225,16.225,0
16,10,hot,3962.5,7925,1.355,18.796,34.482,8.546,15.312,15.312,15.312,0
16,11,hot,3989.5,7979,1.325,17.986,34.506,7.569,16.545,16.545,16.545,0
16,12,hot,3962.5,7925,1.344,18.698,32.556,10.584,19.192,19.192,19.192,0
16,13,hot,3970.5,7941,1.339,18.596,32.858,7.686,14.364,14.364,14.364,0
16,14,hot,3968.0,7936,1.345,17.705,34.507,7.543,13.956,13.956,13.956,0
16,15,hot,3951.0,7902,1.343,18.341,34.298,9.717,28.169,28.169,28.169,0
16,16,hot,3979.5,7959,1.344,18.175,32.235,7.187,13.399,13.399,13.399,0
16,17,hot,3972.5,7945,1.344,18.040,34.094,8.006,14.378,14.378,14.378,0
16,18,hot,3970.5,7941,1.344,18.582,35.126,8.211,13.213,13.213,13.213,0
16,19,hot,3973.5,7947,1.355,18.147,34.659,7.085,16.856,16.856,16.856,0
32,0,hot,3363.0,6726,6.271,29.143,45.470,13.272,33.876,51.346,51.346,0
32,1,hot,3435.0,6870,6.140,28.333,45.499,14.205,29.434,47.402,47.402,0
32,2,hot,3331.5,6663,6.280,30.301,47.378,15.587,33.281,34.957,34.957,0
32,3,hot,3462.5,6925,6.100,28.276,43.825,15.110,33.817,35.963,35.963,0
32,4,hot,3402.0,6804,6.075,29.591,45.121,14.135,32.578,43.494,43.494,0
32,5,hot,3393.5,6787,6.082,28.571,44.919,15.308,46.453,50.348,50.348,0
32,6,hot,3302.0,6604,6.200,29.863,46.387,15.997,44.044,85.592,85.592,0
32,7,hot,3359.0,6718,6.380,28.874,44.339,14.836,40.178,44.505,44.505,0
32,8,hot,3322.0,6644,6.297,30.576,47.203,14.729,57.692,60.780,60.780,0
32,9,hot,3358.5,6717,6.328,28.970,45.218,13.486,38.134,103.918,103.918,0
32,10,hot,3323.0,6646,6.462,29.054,44.428,13.292,31.865,40.440,40.440,0
32,11,hot,3308.0,6616,6.226,29.712,45.788,14.647,43.514,54.308,54.308,0
32,12,hot,3325.5,6651,6.372,29.259,46.616,14.340,53.765,73.898,73.898,0
32,13,hot,3413.0,6826,6.139,29.380,44.060,13.926,29.284,50.720,50.720,0
32,14,hot,3466.0,6932,5.994,28.356,43.145,14.848,44.303,47.079,47.079,0
32,15,hot,3434.5,6869,6.154,28.501,44.292,15.872,53.402,58.836,58.836,0
32,16,hot,3440.0,6880,6.029,28.221,45.425,12.890,45.117,51.767,51.767,0
32,17,hot,3466.0,6932,6.145,28.880,44.389,13.986,27.207,31.676,31.676,0
32,18,hot,3460.0,6920,6.056,28.676,46.007,13.569,59.875,70.857,70.857,0
32,19,hot,3345.5,6691,6.241,29.652,45.926,15.084,39.847,51.815,51.815,0
64,0,hot,2475.0,4950,17.827,77.104,121.713,26.739,84.879,101.891,101.891,0
64,1,hot,2471.5,4943,17.521,77.576,121.614,27.624,68.874,124.004,124.004,0
64,2,hot,2471.0,4942,17.161,79.657,122.029,30.634,89.402,181.270,181.270,0
64,3,hot,2497.0,4994,17.417,76.898,116.385,28.930,103.157,154.507,154.507,0
64,4,hot,2501.5,5003,17.260,77.225,115.711,26.796,60.604,78.868,78.868,0
64,5,hot,2607.0,5214,16.577,74.767,115.698,29.236,89.303,121.761,121.761,0
64,6,hot,2572.5,5145,17.034,74.942,117.268,25.217,80.762,90.113,90.113,0
64,7,hot,2455.0,4910,17.925,77.560,121.203,27.040,94.482,138.005,138.005,0
64,8,hot,2475.5,4951,17.593,76.865,117.847,28.833,91.700,122.279,122.279,0
64,9,hot,2495.0,4990,17.527,78.093,119.617,33.628,86.855,145.666,145.666,0
64,10,hot,2506.0,5012,17.279,77.829,114.205,31.479,72.997,163.124,163.124,0
64,11,hot,2599.0,5198,16.956,74.103,113.258,27.566,97.430,113.472,113.472,0
64,12,hot,2586.0,5172,16.301,76.344,118.118,27.312,95.849,110.877,110.877,0
64,13,hot,2624.0,5248,16.239,74.655,112.747,30.388,76.518,113.325,113.325,0
64,14,hot,2506.0,5012,17.223,78.990,124.837,33.177,79.953,114.839,114.839,0
64,15,hot,2423.5,4847,17.954,79.590,125.686,31.343,84.049,145.165,145.165,0
64,16,hot,2482.0,4964,17.634,78.971,122.380,30.093,83.359,91.985,91.985,0
64,17,hot,2572.5,5145,16.711,74.614,116.758,25.298,69.597,165.904,165.904,0
64,18,hot,2532.0,5064,17.017,74.780,118.395,28.866,67.846,139.547,139.547,0
64,19,hot,2657.5,5315,16.172,72.503,112.240,30.337,79.792,128.738,128.738,0
128,0,hot,1956.0,3912,44.214,198.101,293.745,65.499,189.659,295.726,382.088,0
128,1,hot,1911.5,3823,44.397,190.280,286.823,71.707,215.438,324.799,360.937,0
128,2,hot,1953.0,3906,44.770,185.768,287.516,68.310,199.955,302.085,382.669,0
128,3,hot,1954.5,3909,44.761,189.022,296.274,61.174,187.986,270.946,341.293,0
128,4,hot,2034.0,4068,43.772,178.352,269.282,69.690,205.650,316.666,449.477,0
128,5,hot,2066.5,4133,43.460,177.658,269.083,59.465,171.345,258.815,266.628,0
128,6,hot,2059.5,4119,42.902,175.522,266.638,67.738,166.982,334.871,380.347,0
