# R2 calibration run — HTTP + SELECT FOR UPDATE, two regimes
# date: 2026-09-01
# host: macOS-26.5.2-arm64-arm-64bit, arm64, Python 3.10.11
# harness: tools/calibrate_r2.py (full: 20 reps, 2.0s per level), server: tools/r2_server.py
# engine: MariaDB 12.3.3-MariaDB (Homebrew, throwaway local instance, max_connections=450)
# STEADY regime excludes each worker's first post-T0 request;
# CONVOY regime is exactly those first requests (synchronized start).
# sharded8 mode: same offered concurrency spread over 8 rows, not 1.
concurrency,rep,mode,steady_thr_ops_s,steady_n,steady_p50_ms,steady_p95_ms,steady_p99_ms,convoy_p50_ms,convoy_p95_ms,convoy_p99_ms,convoy_max_ms,errors
8,3,hot,4468.5,8937,1.773,2.144,2.400,3.226,4.144,4.144,4.144,0
8,4,hot,4156.5,8313,1.895,2.379,2.673,3.533,4.360,4.360,4.360,0
8,5,hot,3886.0,7772,1.975,2.584,3.299,2.848,3.691,3.691,3.691,0
8,6,hot,3731.5,7463,2.113,2.640,2.922,2.853,3.860,3.860,3.860,0
8,7,hot,3967.5,7935,1.989,2.507,2.776,3.249,4.278,4.278,4.278,0
8,8,hot,3801.5,7603,2.066,2.608,2.926,3.259,4.475,4.475,4.475,0
8,9,hot,3890.5,7781,2.025,2.565,2.893,3.138,4.189,4.189,4.189,0
8,10,hot,4005.5,8011,1.948,2.513,2.838,3.116,4.082,4.082,4.082,0
8,11,hot,4157.5,8315,1.889,2.369,2.640,2.898,4.047,4.047,4.047,0
8,12,hot,4556.0,9112,1.740,2.057,2.320,3.479,4.498,4.498,4.498,0
8,13,hot,3841.0,7682,2.013,2.579,3.324,3.273,4.279,4.279,4.279,0
8,14,hot,4001.0,8002,1.864,2.618,6.126,3.212,4.256,4.256,4.256,0
8,15,hot,4014.5,8029,1.945,2.515,2.956,2.874,3.655,3.655,3.655,0
8,16,hot,4161.5,8323,1.890,2.359,2.671,3.057,3.899,3.899,3.899,0
8,17,hot,4164.5,8329,1.883,2.362,2.633,2.897,3.805,3.805,3.805,0
8,18,hot,4272.5,8545,1.840,2.286,2.558,3.130,4.133,4.133,4.133,0
8,19,hot,4113.5,8227,1.918,2.362,2.632,3.063,3.875,3.875,3.875,0
16,0,hot,3957.0,7914,3.986,4.846,5.306,4.209,5.641,5.641,5.641,0
16,1,hot,3789.0,7578,4.193,5.023,5.850,5.474,7.523,7.523,7.523,0
16,2,hot,4156.0,8312,3.780,4.574,4.992,4.434,6.277,6.277,6.277,0
16,3,hot,4071.0,8142,3.861,4.676,5.167,4.268,6.371,6.371,6.371,0
16,4,hot,4156.0,8312,3.753,4.632,5.146,4.677,6.118,6.118,6.118,0
16,5,hot,4041.5,8083,3.798,4.656,9.367,4.799,6.511,6.511,6.511,0
16,6,hot,4102.5,8205,3.851,4.585,4.956,4.259,6.308,6.308,6.308,0
16,7,hot,3964.0,7928,3.955,4.788,5.433,5.083,6.956,6.956,6.956,0
16,8,hot,3907.0,7814,4.065,4.899,5.508,5.063,7.238,7.238,7.238,0
16,9,hot,4043.0,8086,3.732,4.758,6.965,5.118,7.160,7.160,7.160,0
16,10,hot,3977.0,7954,3.966,4.824,5.243,4.765,6.576,6.576,6.576,0
16,11,hot,4021.5,8043,3.805,4.899,8.232,4.773,6.573,6.573,6.573,0
16,12,hot,3881.5,7763,4.100,4.912,5.380,5.160,7.234,7.234,7.234,0
16,13,hot,3826.5,7653,4.127,4.980,5.838,5.114,7.273,7.273,7.273,0
16,14,hot,4076.5,8153,3.856,4.687,4.984,5.526,7.432,7.432,7.432,0
16,15,hot,4190.0,8380,3.760,4.493,4.918,4.404,6.390,6.390,6.390,0
16,16,hot,4094.0,8188,3.868,4.518,4.961,4.711,6.844,6.844,6.844,0
16,17,hot,4053.0,8106,3.900,4.616,4.996,4.450,6.369,6.369,6.369,0
16,18,hot,4138.5,8277,3.815,4.485,4.920,4.920,6.697,6.697,6.697,0
16,19,hot,4045.0,8090,3.786,4.610,9.770,5.197,7.114,7.114,7.114,0
32,0,hot,4078.5,8157,7.713,8.921,9.869,7.930,11.494,11.794,11.794,0
32,1,hot,3960.5,7921,7.942,9.192,9.928,18.582,27.817,27.856,27.856,0
32,2,hot,3950.0,7900,8.047,9.293,9.985,7.674,11.241,11.539,11.539,0
32,3,hot,3784.5,7569,8.446,9.767,10.303,7.311,10.595,11.091,11.091,0
32,4,hot,3650.5,7301,8.524,10.280,17.593,7.753,11.585,11.627,11.627,0
32,5,hot,3938.0,7876,8.057,9.436,9.986,8.315,11.712,12.013,12.013,0
32,6,hot,4076.0,8152,7.785,9.062,9.615,8.557,12.057,12.270,12.270,0
32,7,hot,3741.0,7482,8.520,9.921,11.045,9.145,13.009,13.121,13.121,0
32,8,hot,4045.0,8090,7.646,8.900,11.320,17.839,33.745,34.060,34.060,0
32,9,hot,3949.0,7898,7.971,9.498,10.324,7.360,11.321,11.473,11.473,0
32,10,hot,4200.5,8401,7.475,8.760,9.505,7.837,11.045,11.224,11.224,0
32,11,hot,4258.0,8516,7.418,8.401,9.052,8.314,11.138,11.281,11.281,0
32,12,hot,4330.5,8661,7.292,8.333,8.969,7.652,11.066,11.562,11.562,0
32,13,hot,4063.5,8127,7.652,9.282,10.284,7.514,11.221,11.591,11.591,0
32,14,hot,3569.5,7139,8.412,11.380,26.600,8.286,12.168,12.710,12.710,0
32,15,hot,3963.0,7926,7.868,9.500,11.043,7.875,12.011,12.650,12.650,0
32,16,hot,4183.0,8366,7.539,8.714,9.284,8.677,12.078,12.595,12.595,0
32,17,hot,3905.0,7810,8.180,9.531,10.405,8.070,11.576,11.718,11.718,0
32,18,hot,3742.5,7485,8.499,9.693,10.192,7.980,12.076,12.153,12.153,0
32,19,hot,3736.5,7473,8.560,9.771,10.435,8.402,13.438,13.497,13.497,0
64,0,hot,4140.5,8281,15.303,16.866,17.470,14.144,21.623,22.562,22.562,0
64,1,hot,3905.5,7811,16.137,18.570,19.388,14.579,21.355,21.948,21.948,0
64,2,hot,4012.0,8024,15.558,18.337,20.637,14.393,22.254,23.243,23.243,0
64,3,hot,3771.0,7542,16.969,18.582,19.136,15.597,22.897,23.975,23.975,0
64,4,hot,4036.0,8072,15.586,18.025,20.400,13.210,20.220,20.461,20.461,0
64,5,hot,3979.0,7958,15.340,19.403,34.406,14.750,22.178,22.647,22.647,0
64,6,hot,4141.5,8283,15.366,16.732,17.325,14.486,20.849,21.516,21.516,0
64,7,hot,4119.0,8238,15.473,16.732,17.441,15.083,22.457,23.233,23.233,0
64,8,hot,4131.0,8262,15.414,16.654,17.402,14.114,20.823,21.871,21.871,0
64,9,hot,4166.5,8333,15.257,16.551,17.437,14.197,20.400,21.424,21.424,0
64,10,hot,4150.0,8300,15.301,16.814,17.352,14.809,21.969,22.697,22.697,0
64,11,hot,4186.0,8372,15.130,16.846,17.685,13.119,20.093,20.825,20.825,0
64,12,hot,4176.5,8353,15.145,16.884,17.536,13.924,20.860,21.629,21.629,0
64,13,hot,4148.0,8296,15.288,16.738,17.293,14.364,21.936,22.678,22.678,0
64,14,hot,3850.0,7700,16.635,18.046,18.837,14.995,22.153,22.988,22.988,0
64,15,hot,3973.0,7946,15.867,18.178,19.292,13.608,20.297,20.747,20.747,0
64,16,hot,3723.5,7447,17.189,18.499,19.336,14.585,22.225,22.876,22.876,0
64,17,hot,3803.0,7606,16.483,18.397,32.513,15.739,22.305,22.970,22.970,0
64,18,hot,3876.5,7753,16.365,18.308,19.208,15.615,23.134,23.983,23.983,0
64,19,hot,3885.0,7770,16.207,18.272,22.134,15.891,23.048,23.391,23.391,0
128,0,hot,3938.0,7876,31.808,35.984,36.736,30.358,45.631,46.195,46.622,0
128,1,hot,3692.5,7385,33.416,37.847,74.273,27.393,39.621,40.861,41.490,0
128,2,hot,3730.0,7460,34.279,36.496,37.052,29.644,44.018,45.761,46.116,0
128,3,hot,3997.0,7994,31.091,36.752,38.076,30.164,44.128,45.910,46.418,0
128,4,hot,3871.0,7742,32.767,37.120,37.919,28.596,40.543,42.021,42.322,0
128,5,hot,3990.0,7980,31.344,35.894,37.811,30.280,43.745,46.139,47.102,0
128,6,hot,3698.5,7397,33.959,38.655,55.343,31.365,47.420,48.303,48.499,0
128,7,hot,3675.0,7350,34.439,38.715,43.594,29.890,44.178,45.261,45.309,0
128,8,hot,3633.0,7266,33.753,41.972,75.704,36.073,56.482,58.648,60.285,0
128,9,hot,4030.5,8061,31.351,34.691,35.415,29.022,42.607,43.644,44.601,0
128,10,hot,3823.0,7646,33.077,39.445,49.636,26.142,39.571,41.277,41.676,0
128,11,hot,4280.0,8560,29.458,32.726,33.511,27.520,41.710,43.233,43.333,0
128,12,hot,4120.0,8240,30.317,36.002,37.712,28.059,41.862,43.296,43.578,0
128,13,hot,4296.5,8593,29.124,33.632,35.739,26.309,39.375,39.770,40.404,0
128,14,hot,4029.0,8058,30.777,36.210,37.675,26.796,40.372,41.696,41.764,0
128,15,hot,4314.5,8629,29.503,31.036,31.757,27.866,39.859,41.559,41.680,0
128,16,hot,3762.5,7525,34.056,36.320,37.440,29.179,42.571,44.103,44.204,0
128,17,hot,4409.5,8819,28.484,31.341,32.386,25.923,39.546,40.523,41.140,0
128,18,hot,4006.0,8012,31.763,35.304,36.000,29.049,42.625,43.965,44.579,0
128,19,hot,4160.0,8320,29.836,34.641,37.083,30.116,44.685,45.953,46.046,0
256,0,hot,3976.5,7953,62.698,71.044,72.172,55.527,84.149,87.943,88.454,0
256,1,hot,4141.5,8283,60.617,66.223,73.104,50.313,76.026,78.332,79.769,0
256,2,hot,4043.0,8086,62.060,70.787,72.659,51.642,77.568,79.109,79.760,0
256,3,hot,3834.0,7668,65.765,73.519,76.237,51.267,79.702,82.684,84.984,0
256,4,hot,4096.0,8192,61.176,67.878,70.693,50.743,75.657,77.602,78.577,0
256,5,hot,3904.5,7809,64.577,70.020,71.465,52.220,80.009,83.209,83.582,0
256,6,hot,3970.0,7940,63.746,71.096,73.150,55.044,82.404,85.471,87.133,0
256,7,hot,4009.0,8018,62.387,72.819,75.978,56.310,85.964,90.637,90.807,0
256,8,hot,3987.5,7975,62.966,68.875,71.227,50.723,76.343,80.286,80.703,0
256,9,hot,3919.5,7839,65.064,71.367,73.616,51.307,78.688,81.116,81.945,0
256,10,hot,4115.0,8230,60.879,69.022,69.740,53.571,78.452,80.202,81.187,0
256,11,hot,3690.5,7381,69.130,72.649,73.535,58.896,88.967,90.899,91.673,0
256,12,hot,4026.0,8052,62.729,70.103,71.333,51.873,78.332,80.471,81.828,0
256,13,hot,3923.5,7847,64.709,70.871,72.539,56.472,86.040,88.348,88.517,0
256,14,hot,4334.0,8668,58.295,61.136,62.451,49.877,74.353,77.194,77.441,0
256,15,hot,3825.0,7650,67.579,73.573,75.041,50.957,78.406,81.147,81.894,0
256,16,hot,3862.5,7725,64.927,72.204,73.487,58.808,87.574,90.845,91.652,0
256,17,hot,3862.0,7724,66.026,70.853,71.640,55.977,84.733,88.299,89.216,0
256,18,hot,3991.5,7983,61.732,73.348,74.319,58.697,85.886,88.927,90.221,0
256,19,hot,4233.0,8466,59.778,62.808,64.033,52.220,78.162,81.134,81.319,0
64,0,sharded8,3693.0,7386,17.083,22.207,24.749,15.806,24.188,26.014,26.014,0
64,1,sharded8,3683.5,7367,17.112,21.992,24.655,14.578,22.842,25.012,25.012,0
64,2,sharded8,3453.5,6907,18.298,23.840,26.309,16.238,25.630,29.420,29.420,0
